User ID,Subscription Type,BASIC,STANDARD,,,,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
45,Basic,983,24,2,913,,10,28-01-23,28-06-23,Germany,43,Female,Laptop,1 Month
46,Premium,982,23,2,870,,15,23-02-22,27-06-23,France,34,Male,Smartphone,1 Month
47,Basic,982,24,2,870,,10,5/10/2022,25-06-23,Brazil,39,Female,Smart TV,1 Month
48,Standard,981,23,2,831,,12,15-09-21,24-06-23,Mexico,32,Male,Tablet,1 Month
49,Premium,981,24,2,860,,15,10/11/2022,23-06-23,Spain,28,Female,Laptop,1 Month
50,Basic,981,24,2,863,,10,2/6/2023,22-06-23,Italy,45,Male,Smartphone,1 Month
51,Premium,980,23,2,892,,15,27-02-23,22-06-23,United States,30,Female,Smart TV,1 Month
52,Basic,980,24,2,862,,10,29-08-22,28-06-23,Canada,37,Male,Tablet,1 Month
53,Standard,979,23,2,908,,12,13-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month
54,Standard,979,24,2,867,,12,30-06-22,26-06-23,Australia,29,Male,Smartphone,1 Month
55,Basic,979,24,2,867,,10,20-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month
56,Premium,978,23,2,828,,15,15-03-22,27-06-23,France,36,Male,Tablet,1 Month
57,Basic,978,24,2,874,,10,1/10/2022,25-06-23,Brazil,46,Female,Laptop,1 Month
58,Standard,977,23,2,877,,12,8/10/2021,24-06-23,Mexico,34,Male,Smartphone,1 Month
59,Premium,977,24,2,906,,15,3/12/2022,23-06-23,Spain,27,Female,Smart TV,1 Month
60,Basic,977,24,2,906,,10,14-06-23,22-06-23,Italy,42,Male,Tablet,1 Month
61,Premium,976,23,2,941,,15,8/2/2023,22-06-23,United States,28,Female,Laptop,1 Month
62,Basic,976,24,2,950,,10,3/8/2022,28-06-23,Canada,37,Male,Smartphone,1 Month
63,Standard,975,23,1,950,,12,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV,1 Month
64,Standard,975,24,1,942,,12,20-06-22,26-06-23,Australia,29,Male,Tablet,1 Month
65,Basic,975,24,1,942,,10,29-03-23,28-06-23,Germany,40,Female,Laptop,1 Month
66,Premium,974,23,1,902,,15,30-01-22,27-06-23,France,29,Male,Smartphone,1 Month
67,Basic,974,24,1,952,,10,18-09-22,25-06-23,Brazil,47,Female,Smart TV,1 Month
68,Standard,973,23,1,950,,12,9/11/2021,24-06-23,Mexico,33,Male,Tablet,1 Month
69,Premium,973,24,1,990,,15,23-12-22,23-06-23,Spain,36,Female,Laptop,1 Month
70,Basic,973,24,1,954,,10,8/5/2023,22-06-23,Italy,41,Male,Smartphone,1 Month
71,Basic,972,23,1,998,,10,26-01-22,20-06-23,United States,27,Male,Smartphone,1 Month
72,Basic,971,23,1,1028,,10,11/10/2022,22-06-23,Canada,31,Female,Smartphone,1 Month
73,Standard,970,22,0,997,,12,27-09-22,26-06-23,United Kingdom,28,Female,Laptop,1 Month
74,Premium,970,23,0,969,,13,14-12-22,25-06-23,Australia,41,Female,Smartphone,1 Month
75,Basic,970,23,0,977,,13,28-05-22,26-06-23,Germany,28,Female,Laptop,1 Month
76,Basic,969,22,0,949,,13,29-12-21,26-06-23,France,51,Female,Laptop,1 Month
77,Premium,968,22,0,898,,15,25-12-22,23-06-23,Brazil,45,Female,Smartphone,1 Month
78,Standard,968,22,0,853,,15,18-11-22,28-06-23,Mexico,49,Male,Tablet,1 Month
79,Standard,968,23,0,853,,15,3/12/2022,25-06-23,Spain,43,Female,Laptop,1 Month
80,Basic,968,23,0,810,,12,8/11/2022,22-06-23,Italy,43,Male,Tablet,1 Month
81,Premium,967,22,0,810,,10,11/1/2023,24-06-23,United States,37,Male,Tablet,1 Month
82,Standard,967,23,0,853,,12,7/12/2022,28-06-23,Canada,35,Male,Laptop,1 Month
83,Basic,967,23,0,853,,10,20-10-22,26-06-23,United Kingdom,46,Female,Smartphone,1 Month
84,Standard,966,23,0,855,,12,13-04-23,25-06-23,Australia,32,Male,Smartphone,1 Month
85,Premium,966,23,0,855,,10,6/4/2023,27-06-23,Germany,37,Female,Laptop,1 Month
86,Basic,966,23,0,818,,11,4/3/2022,25-06-23,France,29,Female,Smartphone,1 Month
87,Premium,965,23,0,836,,15,28-12-21,23-06-23,Brazil,45,Male,Smart TV,1 Month
88,Standard,965,24,0,877,,12,27-09-22,28-06-23,Mexico,47,Male,Tablet,1 Month
89,Basic,965,25,0,877,,15,20-10-22,26-06-23,Spain,39,Male,Smartphone,1 Month
90,Standard,964,24,0,877,,13,3/2/2023,23-06-23,Italy,49,Female,Smartphone,1 Month
91,Premium,964,24,0,828,,11,3/10/2022,23-06-23,United States,39,Male,Tablet,1 Month
92,Basic,964,25,0,871,,14,5/1/2022,28-06-23,Canada,39,Male,Smart TV,1 Month
93,Standard,963,25,0,871,,12,5/2/2022,26-06-23,United Kingdom,35,Male,Smartphone,1 Month
94,Premium,963,25,0,871,,12,19-03-22,25-06-23,Australia,44,Male,Smartphone,1 Month
95,Basic,963,25,0,901,,11,28-02-22,25-06-23,Germany,34,Male,Laptop,1 Month
96,Premium,962,24,0,901,,14,26-07-22,24-06-23,France,32,Male,Laptop,1 Month
97,Basic,962,25,0,936,,10,5/3/2022,24-06-23,Brazil,29,Female,Tablet,1 Month
98,Standard,961,24,0,907,,13,7/3/2022,28-06-23,Mexico,31,Female,Tablet,1 Month
99,Standard,961,24,0,925,,12,13-01-23,24-06-23,Spain,29,Female,Tablet,1 Month
100,Basic,961,25,0,935,,12,22-01-23,25-06-23,Italy,35,Male,Laptop,1 Month
101,Premium,960,24,0,981,,11,17-10-22,24-06-23,United States,46,Female,Tablet,1 Month
102,Basic,960,24,0,982,,12,29-03-22,28-06-23,Canada,31,Male,Tablet,1 Month
103,Standard,959,24,0,1012,,13,4/4/2022,26-06-23,United Kingdom,36,Male,Laptop,1 Month
104,Premium,959,24,0,1045,,10,8/6/2022,25-06-23,Australia,38,Male,Laptop,1 Month
105,Basic,959,24,0,1045,,11,4/3/2022,27-06-23,Germany,46,Female,Laptop,1 Month
106,Premium,958,24,0,999,,10,18-03-22,24-06-23,France,49,Female,Tablet,1 Month
107,Basic,958,24,0,950,,14,7/3/2022,24-06-23,Brazil,29,Female,Smart TV,1 Month
108,Standard,957,23,0,921,,12,24-05-22,25-06-23,Mexico,27,Female,Smart TV,1 Month
109,Standard,957,24,0,894,,13,8/2/2023,25-06-23,Spain,35,Female,Tablet,1 Month
110,Basic,957,24,0,906,,13,26-01-23,24-06-23,Italy,37,Female,Laptop,1 Month
111,Premium,956,23,0,920,,14,14-07-22,27-06-23,United States,40,Male,Tablet,1 Month
112,Basic,956,24,0,920,,10,1/6/2022,28-06-23,Canada,33,Female,Laptop,1 Month
113,Standard,955,23,0,887,,15,7/5/2022,26-06-23,United Kingdom,37,Male,Tablet,1 Month
114,Premium,955,24,0,887,,10,18-11-22,25-06-23,Australia,48,Male,Smartphone,1 Month
115,Basic,955,24,0,887,,11,5/4/2022,25-06-23,Germany,50,Female,Laptop,1 Month
116,Premium,954,23,0,879,,14,19-05-22,23-06-23,France,45,Female,Smart TV,1 Month
117,Basic,954,24,0,834,,15,30-10-21,23-06-23,Brazil,40,Female,Tablet,1 Month
118,Standard,953,23,0,794,,12,7/8/2022,27-06-23,Mexico,33,Male,Smartphone,1 Month
119,Standard,953,24,0,794,,11,20-09-22,25-06-23,Spain,44,Female,Smartphone,1 Month
120,Basic,953,24,0,750,,10,18-10-22,25-06-23,Italy,30,Female,Smart TV,1 Month
121,Premium,952,23,0,720,,15,3/10/2022,24-06-23,United States,27,Male,Smart TV,1 Month
122,Basic,952,24,0,720,,11,3/5/2022,28-06-23,Canada,51,Male,Smart TV,1 Month
123,Standard,951,23,0,755,,13,25-05-22,26-06-23,United Kingdom,49,Female,Smartphone,1 Month
124,Premium,951,24,1,745,,15,5/11/2022,25-06-23,Australia,43,Male,Laptop,1 Month
125,Basic,951,24,1,745,,12,21-08-22,24-06-23,Germany,42,Male,Smartphone,1 Month
126,Premium,950,23,1,784,,13,21-09-22,23-06-23,France,45,Male,Laptop,1 Month
127,Basic,950,24,1,831,,10,23-11-21,23-06-23,Brazil,36,Male,Smartphone,1 Month
128,Standard,949,23,1,868,,12,6/10/2022,27-06-23,Mexico,48,Male,Smartphone,1 Month
129,Standard,949,24,1,895,,13,5/11/2022,23-06-23,Spain,38,Male,Smart TV,1 Month
130,Basic,949,24,1,944,,14,7/1/2023,23-06-23,Italy,43,Female,Tablet,1 Month
131,Premium,948,23,1,931,,15,6/10/2022,23-06-23,United States,47,Male,Laptop,1 Month
132,Basic,948,24,1,931,,15,24-06-22,28-06-23,Canada,48,Female,Smart TV,1 Month
133,Standard,947,23,1,883,,13,24-06-22,26-06-23,United Kingdom,47,Male,Smart TV,1 Month
134,Premium,947,24,1,913,,15,5/11/2022,25-06-23,Australia,32,Male,Tablet,1 Month
135,Basic,947,24,1,949,,13,18-07-22,26-06-23,Germany,47,Female,Smart TV,1 Month
136,Premium,946,23,1,930,,12,13-09-22,26-06-23,France,41,Female,Smart TV,1 Month
137,Basic,946,24,1,936,,12,10/8/2022,22-06-23,Brazil,49,Male,Laptop,1 Month
138,Standard,945,23,1,969,,15,21-09-22,23-06-23,Mexico,28,Male,Laptop,1 Month
139,Standard,945,24,1,1018,,13,24-03-23,23-06-23,Spain,40,Male,Smartphone,1 Month
140,Basic,945,24,1,1062,,12,2/5/2022,23-06-23,Italy,43,Female,Smartphone,1 Month
141,Premium,944,23,1,1019,,12,11/5/2022,27-06-23,United States,42,Male,Smartphone,1 Month
142,Basic,944,24,1,1056,,14,10/6/2022,22-06-23,Canada,28,Male,Smart TV,1 Month
143,Standard,943,23,1,1056,,14,31-08-22,24-06-23,United Kingdom,30,Female,Tablet,1 Month
144,Premium,943,24,2,1076,,10,17-08-22,26-06-23,Australia,33,Male,Smart TV,1 Month
145,Basic,943,24,2,1076,,11,5/5/2022,26-06-23,Germany,35,Female,Laptop,1 Month
146,Basic,942,23,2,1041,,10,6/10/2022,25-06-23,France,38,Male,Tablet,1 Month
147,Basic,941,23,2,1091,,12,8/11/2022,24-06-23,Brazil,49,Female,Laptop,1 Month
148,Standard,940,22,2,1087,,15,27-11-22,28-06-23,Mexico,39,Female,Smartphone,1 Month
149,Premium,940,23,2,1048,,13,17-11-22,27-06-23,Spain,46,Female,Smart TV,1 Month
150,Basic,940,23,2,1051,,10,15-12-22,23-06-23,Italy,47,Female,Laptop,1 Month
151,Basic,939,22,2,1043,,15,12/12/2022,25-06-23,United States,30,Female,Laptop,1 Month
152,Premium,938,22,2,1058,,14,23-11-22,27-06-23,Canada,33,Female,Tablet,1 Month
153,Standard,938,22,2,1074,,11,25-12-22,24-06-23,United Kingdom,47,Male,Smartphone,1 Month
154,Standard,938,23,2,1105,,11,11/3/2023,27-06-23,Australia,27,Male,Laptop,1 Month
155,Basic,938,23,2,1147,,14,18-11-22,27-06-23,Germany,28,Male,Tablet,1 Month
156,Premium,937,22,2,1147,,15,19-08-22,25-06-23,France,47,Male,Smartphone,1 Month
157,Standard,937,23,2,1147,,14,27-09-22,24-06-23,Brazil,30,Male,Laptop,1 Month
158,Basic,937,23,2,1147,,13,19-10-22,28-06-23,Mexico,47,Female,Smartphone,1 Month
159,Standard,936,23,2,1145,,10,21-12-22,26-06-23,Spain,51,Female,Smart TV,1 Month
160,Premium,936,23,2,1130,,15,27-10-22,25-06-23,Italy,39,Male,Smartphone,1 Month
161,Basic,936,23,2,1130,,10,23-10-22,24-06-23,United States,45,Male,Tablet,1 Month
162,Premium,935,23,2,1179,,15,19-04-22,25-06-23,Canada,31,Male,Laptop,1 Month
163,Standard,935,24,2,1179,,11,5/4/2022,26-06-23,United Kingdom,29,Male,Laptop,1 Month
164,Basic,935,25,2,1179,,11,11/3/2022,26-06-23,Australia,42,Female,Tablet,1 Month
165,Standard,934,24,2,1186,,14,25-05-22,25-06-23,Germany,49,Male,Tablet,1 Month
166,Premium,934,24,2,1229,,13,16-04-22,26-06-23,France,42,Male,Laptop,1 Month
167,Basic,934,25,2,1279,,13,7/4/2022,24-06-23,Brazil,29,Male,Smartphone,1 Month
168,Standard,933,25,2,1330,,10,11/12/2022,28-06-23,Mexico,29,Male,Tablet,1 Month
169,Premium,933,25,2,1330,,12,20-01-23,26-06-23,Spain,49,Male,Tablet,1 Month
170,Basic,933,25,2,1330,,14,12/1/2023,25-06-23,Italy,32,Male,Laptop,1 Month
171,Premium,932,24,2,1376,,11,29-04-22,24-06-23,United States,35,Female,Tablet,1 Month
172,Basic,932,25,2,1341,,12,27-04-22,26-06-23,Canada,39,Female,Smartphone,1 Month
173,Standard,931,24,1,1302,,15,3/6/2022,25-06-23,United Kingdom,40,Male,Smartphone,1 Month
174,Standard,931,24,2,1350,,14,23-04-22,25-06-23,Australia,39,Female,Tablet,1 Month
175,Basic,931,25,2,1345,,10,22-04-22,26-06-23,Germany,47,Female,Laptop,1 Month
176,Premium,930,24,2,1338,,13,12/4/2022,25-06-23,France,37,Female,Smart TV,1 Month
177,Basic,930,24,2,1349,,15,23-05-22,26-06-23,Brazil,27,Female,Smartphone,1 Month
178,Standard,929,24,2,1322,,13,19-10-22,26-06-23,Mexico,49,Female,Laptop,1 Month
179,Premium,929,24,2,1324,,10,3/12/2022,26-06-23,Spain,30,Female,Tablet,1 Month
180,Basic,929,24,2,1294,,14,26-09-22,25-06-23,Italy,36,Male,Laptop,1 Month
181,Premium,928,24,2,1294,,15,16-06-22,27-06-23,United States,33,Male,Smartphone,1 Month
182,Basic,928,24,2,1294,,13,16-05-22,25-06-23,Canada,30,Female,Laptop,1 Month
183,Standard,927,23,2,1264,,15,26-05-22,26-06-23,United Kingdom,36,Female,Tablet,1 Month
184,Standard,927,24,3,1228,,13,26-04-22,25-06-23,Australia,28,Female,Laptop,1 Month
185,Basic,927,24,3,1250,,11,12/5/2022,25-06-23,Germany,47,Female,Tablet,1 Month
186,Premium,926,23,3,1247,,12,1/3/2022,25-06-23,France,33,Female,Smart TV,1 Month
187,Basic,926,24,3,1214,,13,10/7/2022,24-06-23,Brazil,49,Female,Laptop,1 Month
188,Standard,925,23,3,1204,,15,16-07-22,27-06-23,Mexico,44,Female,Smart TV,1 Month
189,Premium,925,24,3,1206,,13,2/9/2022,26-06-23,Spain,47,Male,Smart TV,1 Month
190,Basic,925,24,3,1206,,11,18-09-22,26-06-23,Italy,37,Female,Tablet,1 Month
191,Premium,924,23,3,1169,,10,8/7/2022,25-06-23,United States,46,Male,Laptop,1 Month
192,Basic,924,24,3,1169,,14,26-06-22,27-06-23,Canada,50,Female,Smartphone,1 Month
193,Standard,923,23,2,1119,,11,5/8/2022,25-06-23,United Kingdom,50,Male,Laptop,1 Month
194,Standard,923,24,2,1119,,14,19-08-22,27-06-23,Australia,37,Male,Laptop,1 Month
195,Basic,923,24,2,1119,,11,26-08-22,24-06-23,Germany,50,Female,Smartphone,1 Month
196,Premium,922,23,2,1069,,13,9/6/2022,24-06-23,France,45,Female,Smart TV,1 Month
197,Basic,922,24,2,1024,,14,27-09-22,23-06-23,Brazil,45,Male,Tablet,1 Month
198,Standard,921,23,2,1062,,10,18-10-22,27-06-23,Mexico,49,Female,Laptop,1 Month
199,Premium,921,24,2,1013,,14,31-10-22,25-06-23,Spain,39,Female,Tablet,1 Month
200,Basic,921,24,2,974,,11,13-10-22,25-06-23,Italy,45,Female,Tablet,1 Month
201,Premium,920,23,2,971,,11,4/7/2022,27-06-23,United States,49,Female,Smart TV,1 Month
202,Basic,920,24,2,922,,12,26-06-22,27-06-23,Canada,31,Female,Tablet,1 Month
203,Standard,919,23,2,891,,13,31-07-22,24-06-23,United Kingdom,42,Female,Smart TV,1 Month
204,Standard,919,24,3,887,,12,27-07-22,24-06-23,Australia,37,Male,Smartphone,1 Month
205,Basic,919,24,3,932,,12,30-07-22,25-06-23,Germany,30,Male,Smart TV,1 Month
206,Premium,918,23,3,980,,11,6/8/2022,25-06-23,France,40,Male,Smartphone,1 Month
207,Basic,918,24,3,1026,,15,16-09-22,24-06-23,Brazil,45,Female,Smartphone,1 Month
208,Standard,917,23,3,981,,15,5/1/2023,23-06-23,Mexico,36,Female,Tablet,1 Month
209,Premium,917,24,3,945,,11,10/12/2022,24-06-23,Spain,41,Male,Laptop,1 Month
210,Basic,917,24,3,986,,14,22-11-22,26-06-23,Italy,49,Female,Laptop,1 Month
211,Premium,916,23,3,937,,15,15-11-22,27-06-23,United States,40,Male,Tablet,1 Month
212,Basic,916,24,3,964,,11,28-10-22,26-06-23,Canada,36,Male,Smart TV,1 Month
213,Standard,915,23,3,991,,12,8/9/2022,24-06-23,United Kingdom,49,Female,Smart TV,1 Month
214,Standard,915,24,3,970,,13,30-06-22,28-06-23,Australia,43,Female,Laptop,1 Month
215,Basic,915,24,3,927,,13,2/9/2022,27-06-23,Germany,50,Female,Smartphone,1 Month
216,Premium,914,23,3,877,,14,8/10/2022,24-06-23,France,51,Female,Smart TV,1 Month
217,Basic,914,24,3,858,,15,13-11-22,25-06-23,Brazil,44,Male,Smart TV,1 Month
218,Standard,913,23,3,858,,12,15-11-22,28-06-23,Mexico,27,Male,Tablet,1 Month
219,Premium,913,24,3,902,,12,16-11-22,25-06-23,Spain,46,Female,Smartphone,1 Month
220,Basic,913,24,3,890,,12,26-11-22,27-06-23,Italy,29,Male,Tablet,1 Month
221,Basic,912,23,3,919,,12,26-11-22,25-06-23,United States,47,Male,Smartphone,1 Month
222,Basic,911,23,3,919,,10,12/12/2022,26-06-23,Canada,48,Female,Smartphone,1 Month
223,Standard,910,22,2,871,,12,8/1/2023,25-06-23,United Kingdom,34,Female,Smartphone,1 Month
224,Premium,910,23,3,873,,15,27-11-22,29-06-23,Australia,40,Female,Smartphone,1 Month
225,Basic,910,23,3,861,,14,11/10/2022,27-06-23,Germany,48,Female,Smartphone,1 Month
226,Basic,909,22,3,840,,10,27-09-22,26-06-23,France,35,Male,Smartphone,1 Month
227,Premium,908,22,3,874,,12,30-09-22,24-06-23,Brazil,51,Female,Smartphone,1 Month
228,Standard,908,22,3,857,,10,4/11/2022,27-06-23,Mexico,39,Male,Smart TV,1 Month
229,Standard,908,23,3,894,,13,4/11/2022,27-06-23,Spain,29,Male,Smartphone,1 Month
230,Basic,908,23,3,928,,12,30-10-22,26-06-23,Italy,51,Male,Laptop,1 Month
231,Premium,907,22,3,978,,11,29-10-22,24-06-23,United States,43,Male,Smartphone,1 Month
232,Standard,907,23,3,1012,,11,30-08-22,27-06-23,Canada,28,Male,Smartphone,1 Month
233,Basic,907,23,2,1045,,15,7/7/2022,26-06-23,United Kingdom,50,Female,Smart TV,1 Month
234,Standard,906,23,2,995,,14,26-05-22,27-06-23,Australia,44,Female,Laptop,1 Month
235,Premium,906,23,2,951,,11,17-05-22,25-06-23,Germany,50,Male,Laptop,1 Month
236,Basic,906,23,2,990,,11,8/5/2022,26-06-23,France,39,Female,Smartphone,1 Month
237,Premium,905,23,2,993,,13,7/7/2022,25-06-23,Brazil,46,Female,Tablet,1 Month
238,Standard,905,24,2,997,,15,17-07-22,28-06-23,Mexico,48,Male,Smartphone,1 Month
239,Basic,905,25,2,997,,15,23-12-22,26-06-23,Spain,38,Male,Smart TV,1 Month
240,Standard,904,24,2,997,,13,27-06-22,26-06-23,Italy,38,Male,Smartphone,1 Month
241,Premium,904,24,2,1031,,13,31-05-22,27-06-23,United States,47,Male,Laptop,1 Month
242,Basic,904,25,2,1031,,12,2/6/2022,26-06-23,Canada,37,Male,Laptop,1 Month
243,Standard,903,25,2,1060,,11,25-05-22,27-06-23,United Kingdom,33,Male,Laptop,1 Month
244,Premium,903,25,2,1103,,15,26-04-22,26-06-23,Australia,28,Male,Smartphone,1 Month
245,Basic,903,25,2,1142,,13,20-04-22,26-06-23,Germany,47,Male,Smart TV,1 Month
246,Premium,902,24,2,1142,,11,3/5/2022,25-06-23,France,38,Female,Smartphone,1 Month
247,Basic,902,25,2,1104,,12,7/7/2022,27-06-23,Brazil,27,Male,Smart TV,1 Month
248,Standard,901,24,2,1152,,13,15-09-22,26-06-23,Mexico,34,Male,Smartphone,1 Month
249,Standard,901,24,2,1152,,14,16-09-22,27-06-23,Spain,42,Female,Smartphone,1 Month
250,Basic,901,25,2,1110,,14,9/8/2022,26-06-23,Italy,28,Male,Laptop,1 Month
251,Premium,900,24,2,1110,,15,25-06-22,27-06-23,United States,30,Male,Laptop,1 Month
252,Basic,900,24,2,1110,,11,30-05-22,26-06-23,Canada,38,Female,Smartphone,1 Month
253,Standard,899,24,1,1108,,15,21-05-22,25-06-23,United Kingdom,45,Female,Tablet,1 Month
254,Premium,899,24,1,1063,,12,20-05-22,27-06-23,Australia,48,Female,Smart TV,1 Month
255,Basic,899,24,1,1015,,13,20-05-22,26-06-23,Germany,46,Female,Smart TV,1 Month
256,Premium,898,24,1,1002,,12,30-05-22,26-06-23,France,34,Male,Tablet,1 Month
257,Basic,898,24,1,1002,,13,17-06-22,25-06-23,Brazil,46,Male,Laptop,1 Month
258,Standard,897,23,1,1002,,11,16-07-22,28-06-23,Mexico,41,Female,Smartphone,1 Month
259,Standard,897,24,1,990,,15,5/8/2022,26-06-23,Spain,28,Male,Smartphone,1 Month
260,Basic,897,24,1,990,,10,17-07-22,26-06-23,Italy,27,Female,Smartphone,1 Month
261,Premium,896,23,1,963,,13,4/7/2022,25-06-23,United States,27,Female,Smart TV,1 Month
262,Basic,896,24,1,985,,12,13-07-22,26-06-23,Canada,28,Female,Tablet,1 Month
263,Standard,895,23,1,986,,15,25-07-22,24-06-23,United Kingdom,46,Male,Smartphone,1 Month
264,Premium,895,24,1,986,,10,9/8/2022,27-06-23,Australia,51,Male,Smartphone,1 Month
265,Basic,895,24,1,1022,,11,5/8/2022,25-06-23,Germany,32,Female,Smart TV,1 Month
266,Premium,894,23,1,990,,10,17-08-22,26-06-23,France,44,Male,Tablet,1 Month
267,Basic,894,24,1,1037,,11,8/9/2022,27-06-23,Brazil,44,Female,Laptop,1 Month
268,Standard,893,23,1,1043,,13,16-10-22,28-06-23,Mexico,34,Female,Smart TV,1 Month
269,Standard,893,24,1,1053,,13,15-10-22,25-06-23,Spain,29,Female,Laptop,1 Month
270,Basic,893,24,1,1063,,12,4/9/2022,25-06-23,Italy,47,Male,Smart TV,1 Month
271,Premium,892,23,1,1095,,14,20-08-22,26-06-23,United States,41,Male,Laptop,1 Month
272,Basic,892,24,1,1125,,10,10/8/2022,26-06-23,Canada,36,Female,Smartphone,1 Month
273,Standard,891,23,0,1122,,12,2/8/2022,25-06-23,United Kingdom,28,Female,Laptop,1 Month
274,Premium,891,24,1,1094,,10,1/8/2022,24-06-23,Australia,27,Female,Tablet,1 Month
275,Basic,891,24,1,1067,,15,6/8/2022,25-06-23,Germany,34,Female,Laptop,1 Month
276,Premium,890,23,1,1033,,14,9/8/2022,25-06-23,France,34,Female,Smart TV,1 Month
277,Basic,890,24,1,999,,13,12/9/2022,26-06-23,Brazil,37,Female,Tablet,1 Month
278,Standard,889,23,1,962,,14,27-09-22,26-06-23,Mexico,34,Female,Laptop,1 Month
279,Standard,889,24,1,960,,15,12/11/2022,24-06-23,Spain,50,Female,Laptop,1 Month
280,Basic,889,24,1,955,,12,13-11-22,27-06-23,Italy,34,Female,Laptop,1 Month
